,date,volume.x,low_price,high_price,volume.y,earning_yield,operating_earning_yield,ps_ratio,dividend_yield,ev_revenues,price_to_book_value,ev_ebit,pe_ratio,peg_ratio
1629,02/07/2007,5.899M,44.53,45.15,5.899M,10.89%,20.61%,2.154,1.79%,2.186,1.947,4.853,9.185,NA
1615,02/06/2007,4.602M,44.59,45.08,4.602M,10.88%,20.6%,2.156,1.79%,2.187,1.948,4.855,9.189,NA
1601,02/05/2007,5.461M,44.6,45.52,5.461M,10.88%,20.6%,2.156,1.79%,2.188,1.948,4.856,9.191,NA
1432,02/02/2007,4.258M,44.53,45.55,4.258M,10.74%,20.32%,2.185,1.76%,2.216,1.975,4.919,9.315,NA
1286,02/01/2007,9.795M,44.42,45.18,9.795M,10.85%,20.53%,2.162,1.78%,2.194,1.954,4.87,9.218,NA
1974,01/31/2007,4.932M,45.23,47,4.932M,13.78%,17.95%,2.501,1.38%,2.512,2.508,5.596,7.254,0.0555
1959,01/30/2007,7.547M,44.1,45.53,7.547M,14.26%,18.57%,2.418,1.42%,2.43,2.425,5.414,7.014,0.0537
1931,01/29/2007,2.179M,21.04,21.44,2.179M,9.31%,19.73%,1.751,2.45%,2.147,2.075,6.056,10.74,0.2076
1889,01/26/2007,4.272M,42.11,43.26,4.272M,15.03%,19.57%,2.294,1.5%,2.309,2.3,5.142,6.655,0.0509
1874,01/25/2007,3.813M,42.1,43.84,3.813M,15.08%,19.63%,2.286,1.51%,2.301,2.293,5.126,6.633,0.0507
1860,01/24/2007,3.187M,43.17,44.1,3.187M,14.87%,19.36%,2.319,1.48%,2.333,2.325,5.197,6.727,0.0515
1845,01/23/2007,3.204M,43.26,44.25,3.204M,14.75%,19.21%,2.337,1.47%,2.351,2.343,5.236,6.779,0.0519
1831,01/22/2007,1.928M,21.06,21.65,1.928M,9.33%,19.76%,1.749,2.45%,2.145,2.073,6.05,10.72,0.2073
1786,01/19/2007,3.006M,42.88,43.93,3.006M,14.75%,19.21%,2.337,1.47%,2.351,2.343,5.236,6.779,0.0519
1774,01/18/2007,2.667M,42.79,44.22,2.667M,14.78%,19.25%,2.332,1.48%,2.346,2.338,5.225,6.764,0.0518
1763,01/17/2007,2.778M,43.5,44.34,2.778M,14.61%,19.03%,2.359,1.46%,2.373,2.366,5.286,6.845,0.0524
1752,01/16/2007,1.253M,20.81,21.22,1.253M,9.34%,19.8%,1.746,2.45%,2.142,2.069,6.04,10.7,0.2069
1700,01/12/2007,3.845M,42.01,43.77,3.845M,15.34%,19.97%,2.248,1.53%,2.263,2.254,5.041,6.52,0.0499
1685,01/11/2007,4.154M,42.56,43.74,4.154M,14.89%,19.39%,2.315,1.49%,2.33,2.322,5.19,6.717,0.0514
1671,01/10/2007,3.912M,42.65,44.08,3.912M,14.82%,19.3%,2.326,1.48%,2.341,2.333,5.214,6.749,0.0516
2059,01/09/2007,4.023M,42.21,42.9,4.023M,15.07%,19.63%,2.288,1.5%,2.302,2.294,5.128,6.636,0.0508
2045,01/08/2007,1.230M,20.53,20.71,1.230M,9.58%,20.29%,1.703,2.51%,2.099,2.019,5.921,10.44,0.2019
2003,01/05/2007,2.759M,39.77,40.64,2.759M,16.03%,20.88%,2.15,1.6%,2.167,2.156,4.827,6.237,0.0477
1988,01/04/2007,3.368M,40.5,41.02,3.368M,15.86%,20.65%,2.174,1.58%,2.191,2.18,4.88,6.307,0.0483
1946,01/03/2007,5.133M,39.28,41.25,5.133M,15.67%,20.4%,2.2,1.56%,2.216,2.207,4.937,6.383,0.0488
1143,12/29/2006,2.842M,46.59,47.11,2.842M,11.09%,18.92%,2.333,1.71%,2.406,2.089,5.215,9.016,NA
1128,12/28/2006,2.719M,46.98,47.72,2.719M,11%,18.77%,2.352,1.69%,2.425,2.106,5.255,9.088,NA
1114,12/27/2006,3.17M,46.48,47.55,3.17M,10.95%,18.67%,2.364,1.69%,2.436,2.116,5.281,9.134,NA
1101,12/26/2006,3.590M,46.08,47.46,3.590M,11.13%,18.98%,2.326,1.71%,2.399,2.082,5.199,8.987,NA
1063,12/22/2006,3.263M,47.02,47.9,3.263M,11.02%,18.8%,2.348,1.7%,2.42,2.102,5.246,9.072,NA
1048,12/21/2006,4.388M,47.28,48.6,4.388M,10.91%,18.6%,2.373,1.68%,2.446,2.125,5.3,9.17,NA
1034,12/20/2006,5.387M,47.51,48.16,5.387M,10.85%,18.5%,2.386,1.67%,2.458,2.136,5.327,9.218,NA
1005,12/19/2006,6.180M,46.36,48.27,6.180M,10.81%,18.43%,2.394,1.66%,2.467,2.144,5.346,9.253,NA
991,12/18/2006,7.634M,47.46,49.18,7.634M,10.9%,18.58%,2.375,1.68%,2.447,2.126,5.304,9.177,NA
949,12/15/2006,5.866M,49.15,50.01,5.866M,10.43%,17.79%,2.481,1.61%,2.552,2.221,5.531,9.587,NA
934,12/14/2006,6.899M,48.39,50.26,6.899M,10.43%,17.79%,2.481,1.61%,2.552,2.221,5.531,9.587,NA
920,12/13/2006,4.220M,47.46,48.41,4.220M,10.81%,18.44%,2.393,1.67%,2.465,2.143,5.343,9.247,NA
905,12/12/2006,3.993M,46.94,47.84,3.993M,10.96%,18.7%,2.361,1.69%,2.433,2.114,5.274,9.122,NA
891,12/11/2006,2.986M,46.82,47.68,2.986M,11.01%,18.77%,2.351,1.7%,2.424,2.105,5.253,9.085,NA
1257,12/08/2006,3.752M,47.38,48.12,3.752M,10.94%,18.66%,2.366,1.68%,2.438,2.118,5.285,9.142,NA
1242,12/07/2006,3.454M,47.37,48.42,3.454M,10.97%,18.7%,2.36,1.69%,2.432,2.113,5.272,9.118,NA
1228,12/06/2006,3.755M,48.04,48.87,3.755M,10.81%,18.43%,2.395,1.66%,2.467,2.144,5.347,9.254,NA
1213,12/05/2006,4.017M,47.68,48.68,4.017M,10.71%,18.26%,2.417,1.57%,2.489,2.164,5.394,9.34,NA
1199,12/04/2006,3.864M,47.17,47.96,3.864M,10.85%,18.5%,2.386,1.59%,2.458,2.136,5.327,9.218,NA
863,12/01/2006,4.032M,47.2,48.37,4.032M,10.74%,18.32%,2.409,1.57%,2.481,2.157,5.377,9.308,NA
4095,11/30/2006,3.751M,37.78,38.31,3.751M,14.62%,19.97%,2.183,1.58%,2.262,2.198,5.285,6.841,0.0687
4066,11/29/2006,4.953M,37.61,38.12,4.953M,14.67%,20.04%,2.175,1.59%,2.254,2.19,5.266,6.815,0.0684
4052,11/28/2006,5.285M,37.12,38.25,5.285M,14.85%,20.28%,2.15,1.61%,2.229,2.165,5.207,6.735,0.0676
4041,11/27/2006,1.970M,13.12,13.31,1.970M,4.12%,16.46%,1.472,3.78%,2.075,1.658,8.509,24.29,NA
4008,11/24/2006,2.261M,28.41,28.92,2.261M,9.7%,17.9%,2.129,1.89%,2.424,2.319,6.244,10.31,0.2232
3985,11/22/2006,3.393M,36.95,37.99,3.393M,14.69%,20.07%,2.173,1.59%,2.251,2.188,5.261,6.808,0.0683
3971,11/21/2006,4.660M,36.02,36.75,4.660M,15.16%,20.71%,2.105,1.64%,2.184,2.12,5.104,6.595,0.0662
3957,11/20/2006,875900,17.15,17.44,875900,11.05%,22.94%,1.468,2.99%,1.896,1.772,5.724,9.049,0.0363
3900,11/17/2006,4.566M,36.03,36.88,4.566M,15.31%,20.91%,2.085,1.66%,2.165,2.1,5.059,6.534,0.0656
3885,11/16/2006,3.289M,35.78,36.78,3.289M,15.16%,20.71%,2.105,1.64%,2.184,2.12,5.104,6.595,0.0662
3871,11/15/2006,3.360M,35.5,37.07,3.360M,15.43%,21.08%,2.069,1.67%,2.148,2.083,5.02,6.481,0.065
3856,11/14/2006,2.372M,35.52,36.11,2.372M,15.58%,21.28%,2.049,1.69%,2.129,2.063,4.974,6.419,0.0644
3842,11/13/2006,974500,17.23,17.37,974500,11%,22.84%,1.474,2.97%,1.903,1.779,5.744,9.089,0.0364
3800,11/10/2006,5.970M,34.34,35.97,5.970M,15.86%,21.67%,2.012,1.72%,2.093,2.026,4.89,6.304,0.0633
4180,11/09/2006,4.814M,35.81,37.4,4.814M,15.23%,20.8%,2.096,1.65%,2.176,2.111,5.084,6.568,0.0659
4166,11/08/2006,2.892M,36.67,37.22,2.892M,15.07%,20.59%,2.118,1.63%,2.197,2.132,5.133,6.634,0.0666
4151,11/07/2006,4.141M,36.67,37.79,4.141M,15.07%,20.59%,2.118,1.63%,2.197,2.132,5.133,6.634,0.0666
4137,11/06/2006,762600,17,17.25,762600,11.06%,22.96%,1.467,2.99%,1.895,1.77,5.721,9.041,0.0362
4080,11/03/2006,3.951M,38.25,38.95,3.951M,14.35%,19.6%,2.225,1.55%,2.303,2.24,5.381,6.971,0.07
3943,11/02/2006,3.420M,37.75,38.34,3.420M,14.58%,19.92%,2.189,1.58%,2.267,2.204,5.297,6.857,0.0688
3786,11/01/2006,3.216M,37.73,38.25,3.216M,14.58%,19.91%,2.19,1.58%,2.268,2.205,5.299,6.86,0.0689
4534,10/31/2006,4.850M,37.09,38.13,4.850M,14.7%,20.08%,2.172,1.59%,2.25,2.187,5.258,6.804,0.0683
4521,10/30/2006,1.574M,16.86,17.23,1.574M,11.24%,23.34%,1.443,3.04%,1.871,1.741,5.649,8.895,0.0356
4466,10/27/2006,3.614M,35.78,36.9,3.614M,15.53%,21.22%,2.055,1.68%,2.135,2.069,4.989,6.439,0.0646
4451,10/26/2006,4.053M,35.97,37.6,4.053M,15.33%,20.95%,2.082,1.66%,2.161,2.096,5.05,6.522,0.0654
4437,10/25/2006,3.978M,35.18,36.56,3.978M,15.23%,20.8%,2.096,1.65%,2.176,2.111,5.084,6.567,0.0659
4422,10/24/2006,3.296M,33.91,35.35,3.296M,15.75%,21.51%,2.027,1.71%,2.107,2.041,4.924,6.35,0.0637
4408,10/23/2006,1.125M,17.17,17.42,1.125M,10.94%,22.72%,1.483,2.96%,1.911,1.789,5.769,9.139,0.0366
4366,10/20/2006,5.926M,33,35.24,5.926M,16.57%,22.64%,1.926,1.8%,2.008,1.939,4.691,6.033,0.0606
4337,10/19/2006,5.546M,33.75,35.32,5.546M,15.76%,21.53%,2.025,1.71%,2.106,2.039,4.92,6.345,0.0637
4323,10/18/2006,5.671M,34.15,36.21,5.671M,16.24%,22.18%,1.966,1.76%,2.047,1.98,4.783,6.159,0.0618
4308,10/17/2006,6.083M,35.3,36.27,6.083M,15.41%,21.05%,2.071,1.67%,2.151,2.086,5.026,6.49,0.0651
4294,10/16/2006,1.579M,17.32,17.54,1.579M,10.92%,22.67%,1.486,2.95%,1.914,1.793,5.779,9.159,0.0367
4252,10/13/2006,5.097M,34.95,36.55,5.097M,15.46%,21.12%,2.064,1.68%,2.144,2.079,5.011,6.468,0.0649
4237,10/12/2006,4.081M,36.8,38.03,4.081M,15.06%,20.58%,2.119,1.63%,2.198,2.133,5.136,6.638,0.0666
4223,10/11/2006,5.576M,37,38.01,5.576M,14.7%,20.08%,2.172,1.59%,2.25,2.187,5.258,6.804,0.0683
4208,10/10/2006,4.338M,36.45,37.66,4.338M,15.06%,20.57%,2.119,1.63%,2.198,2.134,5.137,6.64,0.0666
4620,10/09/2006,1.127M,17.27,17.44,1.127M,11%,22.84%,1.474,2.97%,1.903,1.779,5.744,9.089,0.0364
4578,10/06/2006,5.641M,36.12,37.53,5.641M,15.13%,20.66%,2.11,1.64%,2.189,2.124,5.115,6.61,0.0663
4563,10/05/2006,4.641M,37.9,39.63,4.641M,14.62%,19.97%,2.183,1.58%,2.261,2.198,5.284,6.839,0.0686
4549,10/04/2006,4.691M,38.97,40.89,4.691M,14.24%,19.45%,2.242,1.54%,2.319,2.257,5.419,7.024,0.0705
4507,10/03/2006,3.018M,40.7,41.66,3.018M,13.57%,18.54%,2.351,1.47%,2.428,2.368,5.672,7.367,0.0739
4351,10/02/2006,953400,17.01,17.25,953400,11.05%,22.93%,1.469,2.99%,1.897,1.772,5.727,9.054,0.0363
763,08/31/2006,3.647M,48.65,49.64,3.647M,12.18%,19.19%,2.377,1.42%,2.478,2.302,5.312,8.214,0.2284
4979,08/31/2006,4.858M,78.9,79.8,4.858M,9.76%,15.64%,2.659,2.52%,2.748,1.624,6.608,10.24,1.099
749,08/30/2006,4.061M,48.99,50.78,4.061M,11.99%,18.9%,2.414,1.4%,2.515,2.338,5.391,8.341,0.232
4965,08/30/2006,5.035M,54.29,56.17,5.035M,9.99%,14.92%,2.725,1.58%,2.706,2.19,5.905,10.01,NA
719,08/29/2006,3.032M,49.71,50.49,3.032M,11.82%,18.63%,2.45,1.38%,2.55,2.372,5.467,8.463,0.2354
4935,08/29/2006,3.560M,64.14,64.77,3.560M,0.22%,0.1%,4.045,4.75%,4.67,2.334,1133.98,458.64,NA
705,08/28/2006,2.910M,50.25,51.12,2.910M,11.8%,18.59%,2.454,1.38%,2.555,2.376,5.476,8.478,0.2358
4921,08/28/2006,871400,10.73,11,871400,-6.27%,7.92%,1.076,4.61%,2.069,2.227,32.66,NA,NA
663,08/25/2006,3.720M,50.6,51.56,3.720M,11.62%,18.32%,2.49,1.36%,2.591,2.411,5.554,8.603,0.2393
4879,08/25/2006,1.473M,10.56,11.03,1.473M,21.14%,45.28%,0.4857,4.65%,0.9196,1.436,4.088,4.731,0.203
648,08/24/2006,2.12M,49.98,50.74,2.12M,11.76%,18.53%,2.462,1.37%,2.563,2.384,5.494,8.507,0.2366
4864,08/24/2006,591900,10.61,10.88,591900,-6.28%,7.94%,1.073,4.62%,2.066,2.221,32.62,NA,NA
634,08/23/2006,2.080M,49.95,51.31,2.080M,11.83%,18.65%,2.447,1.38%,2.548,2.369,5.461,8.454,0.2351
4850,08/23/2006,837300,10.37,10.67,837300,-6.41%,8.1%,1.052,4.71%,2.045,2.178,32.29,NA,NA
619,08/22/2006,2.177M,50.51,51.15,2.177M,11.65%,18.36%,2.485,1.36%,2.586,2.406,5.543,8.586,0.2388
4835,08/22/2006,3.412M,62.56,63.49,3.412M,0.22%,0.1%,3.965,4.85%,4.59,2.288,1114.56,449.57,NA
605,08/21/2006,2.830M,50.36,51.11,2.830M,11.74%,18.51%,2.465,1.37%,2.566,2.387,5.5,8.516,0.2368
4821,08/21/2006,1.054M,10.01,10.49,1.054M,-6.54%,8.26%,1.031,4.81%,2.025,2.135,31.97,NA,NA
549,08/18/2006,3.337M,49.16,50.38,3.337M,11.84%,18.67%,2.444,1.38%,2.545,2.366,5.455,8.444,0.2348
4765,08/18/2006,4.192M,61.09,61.94,4.192M,0.23%,0.11%,3.893,4.94%,4.519,2.246,1097.13,441.43,NA
534,08/17/2006,3.914M,48.8,49.76,3.914M,12.08%,19.04%,2.397,1.41%,2.498,2.321,5.354,8.281,0.2303
4750,08/17/2006,3.689M,93.88,95.13,3.689M,8.04%,10.46%,3.722,2.97%,3.894,1.696,10.01,12.44,0.3156
520,08/16/2006,3.227M,49.04,50.36,3.227M,12.08%,19.04%,2.396,1.41%,2.497,2.32,5.352,8.278,0.2302
4736,08/16/2006,5.135M,67,68.5,5.135M,-4.15%,10.28%,2.955,4.3%,3.237,1.568,10.65,NA,NA
505,08/15/2006,2.318M,48.9,49.88,2.318M,11.96%,18.85%,2.42,1.4%,2.521,2.343,5.403,8.361,0.2325
4721,08/15/2006,4.761M,66.28,67.24,4.761M,-4.26%,10.53%,2.884,4.41%,3.167,1.531,10.42,NA,NA
491,08/14/2006,2.992M,48.95,50.12,2.992M,12.13%,19.12%,2.387,1.42%,2.488,2.311,5.332,8.247,0.2293
4707,08/14/2006,5.624M,71.43,73.69,5.624M,-14.3%,,5.016,4.19%,5.438,2.374,NA,NA,-0.0267
449,08/11/2006,1.882M,50.03,50.7,1.882M,11.8%,18.61%,2.452,1.38%,2.553,2.374,5.472,8.471,0.2356
4665,08/11/2006,2.378M,85.89,87.12,2.378M,6.23%,8.29%,3.493,2.82%,3.718,1.681,12.84,16.04,NA
434,08/10/2006,2.490M,50.19,50.84,2.490M,11.75%,18.52%,2.464,1.37%,2.564,2.385,5.497,8.512,0.2367
4650,08/10/2006,5.620M,72.43,73.74,5.620M,6.27%,10.18%,3.299,1.77%,3.344,2.146,9.905,15.94,NA
849,08/09/2006,2.921M,50.64,51.95,2.921M,11.68%,18.41%,2.479,1.36%,2.58,2.4,5.53,8.565,0.2382
834,08/08/2006,2.831M,50.46,51.46,2.831M,11.78%,18.57%,2.458,1.37%,2.558,2.38,5.484,8.491,0.2361
820,08/07/2006,2.736M,50.55,51.85,2.736M,11.57%,18.24%,2.501,1.35%,2.602,2.422,5.578,8.641,0.2403
778,08/04/2006,3.001M,49.9,51.65,3.001M,11.8%,18.6%,2.453,1.38%,2.554,2.376,5.475,8.476,0.2357
4994,08/04/2006,536000,10.7,10.79,536000,-0.98%,5.03%,1.099,4.66%,2.069,2.607,20.7,NA,NA
734,08/03/2006,2.675M,50.74,51.7,2.675M,11.61%,18.3%,2.493,1.36%,2.594,2.414,5.56,8.613,0.2395
4950,08/03/2006,1.306M,16.57,16.98,1.306M,11.27%,23.41%,1.439,3.05%,1.867,1.736,5.637,8.87,0.0355
578,08/02/2006,3.042M,51.41,53.19,3.042M,11.53%,18.18%,2.51,1.35%,2.611,2.431,5.597,8.673,0.2412
4794,08/02/2006,1.757M,11.48,11.74,1.757M,19.72%,42.24%,0.5205,4.33%,0.9547,1.539,4.244,5.07,0.2176
419,08/01/2006,2.206M,51.34,52.11,2.206M,11.52%,18.16%,2.512,1.34%,2.614,2.433,5.602,8.681,0.2414
4635,08/01/2006,2.257M,48.68,49.4,2.257M,12.06%,19.01%,2.4,1.41%,2.501,2.324,5.361,8.292,0.2306
2413,07/31/2006,2.342M,50.95,52,2.342M,11.52%,18.16%,2.512,1.34%,2.613,2.432,5.601,8.678,0.2413
2360,07/28/2006,2.358M,50.35,51.49,2.358M,11.65%,18.36%,2.485,1.36%,2.586,2.406,5.543,8.586,0.2388
2345,07/27/2006,3.419M,50.84,52.25,3.419M,11.64%,18.35%,2.487,1.36%,2.588,2.408,5.547,8.591,0.2389
2331,07/26/2006,4.562M,49.59,51.54,4.562M,11.65%,18.37%,2.484,1.36%,2.585,2.406,5.542,8.583,0.2387
2316,07/25/2006,3.202M,49.28,50.04,3.202M,11.94%,18.82%,2.424,1.39%,2.525,2.348,5.413,8.376,0.2329
2302,07/24/2006,3.232M,47.86,49.71,3.232M,12.01%,18.94%,2.409,1.4%,2.51,2.333,5.38,8.323,0.2315
2260,07/21/2006,3.326M,47.66,48.84,3.326M,12.47%,19.66%,2.321,1.46%,2.422,2.247,5.191,8.019,0.223
2245,07/20/2006,2.879M,47.72,48.6,2.879M,12.48%,19.67%,2.32,1.46%,2.42,2.246,5.188,8.014,0.2229
2217,07/19/2006,3.328M,47.38,48.54,3.328M,12.31%,19.4%,2.352,1.44%,2.453,2.277,5.257,8.126,0.226
2202,07/18/2006,3.499M,47.13,48.39,3.499M,12.4%,19.54%,2.335,1.45%,2.435,2.261,5.22,8.066,0.2243
2188,07/17/2006,3.724M,47.21,49.03,3.724M,12.54%,19.77%,2.307,1.46%,2.408,2.234,5.162,7.972,0.2217
2146,07/14/2006,3.158M,48.47,49.75,3.158M,12.04%,18.98%,2.404,1.4%,2.505,2.328,5.37,8.307,0.231
2131,07/13/2006,3.033M,48.98,49.89,3.033M,12.12%,19.11%,2.387,1.42%,2.488,2.311,5.333,8.247,0.2294
2117,07/12/2006,3.425M,49.09,49.88,3.425M,12.03%,18.97%,2.405,1.4%,2.506,2.329,5.371,8.309,0.2311
2102,07/11/2006,3.529M,48.6,49.88,3.529M,12.17%,19.19%,2.378,1.42%,2.478,2.302,5.313,8.215,0.2285
2088,07/10/2006,2.084M,48.85,49.89,2.084M,12.06%,19.02%,2.399,1.41%,2.5,2.323,5.359,8.289,0.2305
2454,07/07/2006,3.059M,48.96,50.3,3.059M,12.1%,19.07%,2.392,1.41%,2.493,2.316,5.344,8.265,0.2298
2439,07/06/2006,3.44M,49.38,50.59,3.44M,11.96%,18.86%,2.419,1.4%,2.52,2.343,5.402,8.359,0.2324
2426,07/05/2006,4.110M,48.52,50.36,4.110M,11.85%,18.67%,2.443,1.38%,2.544,2.366,5.453,8.442,0.2348
2387,07/03/2006,1.083M,49.19,50.31,1.083M,11.87%,18.71%,2.438,1.39%,2.539,2.361,5.442,8.424,0.2343
2825,06/30/2006,2.911M,49.16,49.7,2.911M,12.11%,19.09%,2.391,1.41%,2.491,2.315,5.34,8.26,0.2297
2796,06/29/2006,4.470M,48.76,49.66,4.470M,13.97%,18.43%,2.476,1.42%,2.667,2.34,5.777,7.159,0.0637
2782,06/28/2006,3.446M,47.63,48.96,3.446M,14.06%,18.55%,2.46,1.43%,2.65,2.325,5.741,7.112,0.0633
2767,06/27/2006,3.521M,47.26,48.43,3.521M,14.44%,19.05%,2.395,1.46%,2.583,2.264,5.596,6.926,0.0616
2753,06/26/2006,3.403M,46.33,48.04,3.403M,14.28%,18.84%,2.421,1.45%,2.61,2.289,5.655,7.002,0.0623
2711,06/23/2006,3.393M,46.17,46.96,3.393M,14.77%,19.48%,2.342,1.5%,2.528,2.214,5.477,6.771,0.0602
2696,06/22/2006,2.616M,44.61,45.67,2.616M,15.07%,19.89%,2.294,1.53%,2.479,2.169,5.371,6.634,0.059
2682,06/21/2006,3.503M,44.1,45.69,3.503M,15.22%,20.08%,2.272,1.54%,2.457,2.148,5.322,6.571,0.0585
2667,06/20/2006,3.067M,44.25,45.23,3.067M,15.47%,20.41%,2.236,1.57%,2.419,2.114,5.24,6.465,0.0575
2638,06/19/2006,3.661M,44.44,46.51,3.661M,15.38%,20.29%,2.249,1.56%,2.433,2.126,5.27,6.504,0.0579
2596,06/16/2006,3.443M,45.56,46.75,3.443M,14.76%,19.48%,2.342,1.5%,2.529,2.214,5.478,6.773,0.0603
2581,06/15/2006,4.176M,45.11,46.76,4.176M,14.69%,19.38%,2.355,1.49%,2.542,2.226,5.506,6.809,0.0606
2567,06/14/2006,4.371M,43.76,44.94,4.371M,15.29%,20.17%,2.262,1.55%,2.446,2.138,5.299,6.54,0.0582
2552,06/13/2006,7.151M,44.08,45.49,7.151M,15.51%,20.46%,2.23,1.57%,2.413,2.108,5.228,6.449,0.0574
2538,06/12/2006,4.447M,45.86,47.24,4.447M,14.84%,19.58%,2.331,1.51%,2.517,2.203,5.453,6.74,0.06
2911,06/09/2006,4.404M,45.76,47.2,4.404M,14.73%,19.44%,2.347,1.5%,2.534,2.219,5.489,6.787,0.0604
2896,06/08/2006,7.085M,43.98,46.84,7.085M,14.73%,19.43%,2.348,1.49%,2.535,2.22,5.492,6.79,0.0604
2882,06/07/2006,6.519M,45.18,46.62,6.519M,15.08%,19.89%,2.293,1.53%,2.479,2.168,5.37,6.632,0.059
2867,06/06/2006,5.196M,46.19,47.57,5.196M,14.55%,19.2%,2.376,1.42%,2.564,2.247,5.555,6.872,0.0611
2853,06/05/2006,5.335M,46.63,48.85,5.335M,14.66%,19.35%,2.358,1.43%,2.546,2.23,5.514,6.82,0.0607
2653,06/02/2006,3.346M,47.83,48.53,3.346M,14.15%,18.68%,2.443,1.38%,2.633,2.31,5.704,7.065,0.0629
2497,06/01/2006,3.700M,46.75,48.02,3.700M,14.3%,18.87%,2.418,1.4%,2.608,2.286,5.649,6.993,0.0622
3688,05/31/2006,4.424M,46.18,47.53,4.424M,14.41%,19.02%,2.399,1.41%,2.588,2.268,5.606,6.938,0.0617
3677,05/30/2006,3.760M,46.18,47.5,3.760M,14.83%,19.57%,2.331,1.45%,2.518,2.204,5.454,6.741,0.06
3618,05/26/2006,3.343M,46.52,47.09,3.343M,14.61%,19.28%,2.367,1.43%,2.554,2.237,5.533,6.844,0.0609
3606,05/25/2006,4.942M,45.92,47.6,4.942M,14.59%,19.25%,2.37,1.43%,2.557,2.24,5.54,6.853,0.061
3593,05/24/2006,5.921M,43.72,45.6,5.921M,15.21%,20.07%,2.273,1.49%,2.457,2.149,5.324,6.573,0.0585
3578,05/23/2006,4.994M,44.7,46.15,4.994M,15.25%,20.12%,2.268,1.49%,2.452,2.144,5.313,6.559,0.0583
3564,05/22/2006,4.976M,43.17,45.06,4.976M,15.34%,20.24%,2.254,1.5%,2.438,2.131,5.282,6.519,0.058
3508,05/19/2006,7.252M,42.96,45.3,7.252M,15.18%,20.03%,2.278,1.49%,2.462,2.153,5.334,6.586,0.0586
3493,05/18/2006,3.597M,44.18,45.19,3.597M,15.46%,20.4%,2.237,1.51%,2.42,2.115,5.243,6.468,0.0575
3479,05/17/2006,4.817M,44.13,46.76,4.817M,15.38%,20.29%,2.248,1.5%,2.432,2.126,5.269,6.502,0.0578
3464,05/16/2006,6.943M,45.64,46.76,6.943M,14.73%,19.43%,2.348,1.44%,2.535,2.22,5.491,6.79,0.0604
3450,05/15/2006,4.805M,46.83,48.4,4.805M,14.4%,19%,2.401,1.41%,2.589,2.27,5.609,6.942,0.0618
3408,05/12/2006,3.460M,48.95,50.72,3.460M,13.96%,18.42%,2.477,1.37%,2.668,2.342,5.78,7.163,0.0637
3393,05/11/2006,3.039M,50.78,52.05,3.039M,13.44%,17.73%,2.573,1.31%,2.767,2.432,5.993,7.439,0.0662
3379,05/10/2006,3.547M,50.13,51.64,3.547M,13.33%,17.59%,2.594,1.3%,2.789,2.452,6.041,7.501,0.0667
3772,05/09/2006,2.634M,49.44,50.65,2.634M,13.52%,17.84%,2.557,1.32%,2.751,2.418,5.959,7.395,0.0658
3758,05/08/2006,2.291M,49.02,50.08,2.291M,13.77%,18.17%,2.511,1.35%,2.703,2.374,5.856,7.262,0.0646
3716,05/05/2006,2.971M,49.67,50.57,2.971M,13.67%,18.04%,2.53,1.34%,2.722,2.391,5.897,7.315,0.0651
3701,05/04/2006,4.199M,49.23,50.96,4.199M,13.75%,18.14%,2.515,1.34%,2.707,2.377,5.864,7.272,0.0647
3665,05/03/2006,4.060M,49.93,51.04,4.060M,13.55%,17.87%,2.552,1.33%,2.746,2.413,5.948,7.381,0.0657
3522,05/02/2006,2.757M,50.15,51.04,2.757M,13.42%,17.71%,2.577,1.31%,2.771,2.436,6.003,7.451,0.0663
3364,05/01/2006,3.078M,49.4,50.44,3.078M,13.69%,18.07%,2.525,1.34%,2.718,2.387,5.887,7.302,0.065
281,04/28/2006,3.396M,48.81,49.57,3.396M,13.9%,18.34%,2.488,1.36%,2.679,2.352,5.804,7.194,0.064
266,04/27/2006,4.989M,46.52,49.14,4.989M,14.09%,18.59%,2.454,1.38%,2.644,2.32,5.728,7.096,0.0631
252,04/26/2006,5.208M,47.81,50.98,5.208M,14.26%,18.81%,2.425,1.39%,2.615,2.293,5.664,7.014,0.0624
237,04/25/2006,4.459M,49.49,51.85,4.459M,13.66%,18.03%,2.531,1.34%,2.723,2.392,5.9,7.318,0.0651
223,04/24/2006,5.448M,49.9,51.02,5.448M,13.53%,17.85%,2.556,1.32%,2.749,2.416,5.956,7.39,0.0657
182,04/21/2006,4.321M,49.07,51.42,4.321M,13.35%,17.61%,2.591,1.31%,2.786,2.45,6.034,7.493,0.0667
168,04/20/2006,3.673M,48.12,49.21,3.673M,13.97%,18.43%,2.476,1.37%,2.667,2.341,5.778,7.16,0.0637
142,04/19/2006,3.535M,48.7,49.78,3.535M,13.94%,18.39%,2.481,1.36%,2.672,2.346,5.789,7.175,0.0638
128,04/18/2006,3.757M,48.57,49.39,3.757M,13.91%,18.36%,2.486,1.36%,2.677,2.35,5.799,7.188,0.0639
115,04/17/2006,4.920M,47.11,48.64,4.920M,14.11%,18.61%,2.452,1.38%,2.642,2.318,5.723,7.089,0.0631
60,04/13/2006,2.394M,45.91,46.64,2.394M,14.83%,19.57%,2.332,1.45%,2.518,2.205,5.456,6.743,0.06
47,04/12/2006,2.349M,45.98,46.68,2.349M,14.82%,19.56%,2.333,1.45%,2.519,2.205,5.457,6.746,0.06
