Date,Open,High,Low,Close,Adj Close,PE Ratio,EV to EBIT,Operating_Earning_Yield,PEG Ratio,PS Ratio,Market Cap,Operating Yields,Price to book value,EV to revenues,Dividend_yield
4/13/2017,64.239998,64.720001,64.080002,64.129997,62.02634,16.61,14.28,0.09,1.031,3.975,102.05B,0.06,20.42,5.064,0.04
4/17/2017,64.790001,64.970001,64.059998,64.309998,62.200436,16.66,14.31,0.09,1.027,3.986,102.34B,0.06,20.48,5.074,0.04
4/18/2017,64.029999,64.080002,63.119999,63.650002,61.562084,16.49,14.19,0.09,1.021,3.945,101.29B,0.06,20.27,5.034,0.04
4/19/2017,63.900002,63.93,63.310001,63.450001,61.368649,16.44,14.16,0.09,1.034,3.933,100.97B,0.06,20.2,5.022,0.04
4/20/2017,63.720001,64,63.290001,63.779999,61.687824,16.52,14.22,0.09,1.033,3.953,101.50B,0.06,20.31,5.042,0.04
4/21/2017,63.759998,64.290001,63.549999,63.82,61.726513,16.53,14.22,0.09,1.011,3.956,101.56B,0.06,20.32,5.045,0.04
4/24/2017,64.400002,65.160004,64.260002,64.660004,62.538956,16.75,14.37,0.09,1.018,4.008,102.91B,0.06,20.59,5.096,0.04
4/25/2017,64.940002,65.629997,64.82,65.099998,62.96452,16.87,14.44,0.09,1.03,4.035,103.61B,0.06,20.73,5.123,0.04
4/26/2017,65.190002,65.919998,65.019997,65.040001,62.906494,16.85,14.43,0.09,1.026,4.031,103.51B,0.06,20.71,5.119,0.04
4/27/2017,65.449997,67.5,65.120003,66.07,63.902706,17.12,14.61,0.09,1.026,4.095,105.15B,0.06,21.04,5.182,0.04
4/28/2017,66.059998,66.32,65.440002,65.940002,63.77697,17.08,14.59,0.09,1.022,4.087,104.95B,0.06,21,5.174,0.04
5/10/2017,66.160004,66.230003,65.360001,65.980003,63.815655,17.09,14.59,0.01,1.039,4.09,105.01B,0.06,21.01,5.176,0.04
5/11/2017,65.900002,65.959999,64.660004,65.300003,63.15797,16.92,14.48,0.01,1.036,4.047,103.93B,0.06,20.79,5.135,0.04
5/12/2017,65.269997,66.190002,65.209999,66.059998,63.893024,17.11,14.61,0.01,1.041,4.094,105.14B,0.06,21.04,5.181,0.04
5/15/2017,66.07,66.849998,65.949997,66.669998,64.483017,17.27,14.71,0.01,1.042,4.132,106.11B,0.06,21.23,5.218,0.04
5/16/2017,66.730003,66.919998,66.330002,66.849998,64.65712,17.32,14.74,0.01,1.034,4.143,106.39B,0.06,21.29,5.229,0.04
5/17/2017,66.849998,66.849998,64.610001,65.370003,63.22567,16.94,14.49,0.01,1.044,4.052,104.04B,0.06,20.82,5.139,0.04
5/18/2017,65.370003,66.099998,65.199997,65.629997,63.477135,17,14.53,0.01,1.046,4.068,104.45B,0.06,20.9,5.155,0.04
5/19/2017,65.739998,66.010002,65.309998,65.580002,63.428783,16.99,14.53,0.01,1.049,4.065,104.37B,0.06,20.88,5.152,0.04
5/22/2017,65.550003,65.620003,64.800003,65.440002,63.293365,16.95,14.5,0.01,1.042,4.056,104.15B,0.06,20.84,5.144,0.04
5/23/2017,65.440002,66.260002,65.43,65.839996,63.680248,17.06,14.57,0.01,1.059,4.081,104.79B,0.06,20.97,5.168,0.04
5/24/2017,65.790001,66.120003,65.57,65.93,63.767296,17.08,14.59,0.01,1.066,4.086,104.93B,0.06,20.99,5.173,0.04
